"","size","rep","tau","alph","r0","degAssort","clustering","pathLen","n_components","r","q","time_steps","peak_size","peak_time","tot_inf","prev_1","prev_2","prev_ratio","r_actual"
"6459",1000,115,0.02,1.5,0.4,0.0260115297658681,0.0457879644252348,7,1,0.6,0.308181736785079,0.310998438281251,1,0,0.001,0.002,0,Inf,0.617655542584653
"6460",1000,115,0.02,1.5,0.4,0.107002428082319,0.0985435905028036,8,1,0.9,0.463878274743991,0.605016714373963,1,0,0.001,0,0.002,0,0.934908288598166
"6461",1000,116,0.02,1.5,0.4,-0.0149494939227336,0.0313213049430673,5,1,0,0.00408686440464828,1.42689586596127,1,0,0.001,0,0.002,0,0.00817742622294347
"6462",1000,116,0.02,1.5,0.4,-0.0169127200763596,0.0383842464024236,6,1,0.3,0.1629865323151,0.823404546501071,1,0,0.001,0.002,0,Inf,0.325974651856588
"6463",1000,116,0.02,1.5,0.4,0.0400417737155599,0.0461993890469342,7,1,0.6,0.308751651141992,2.08790617039937,1,0,0.001,0,0.002,0,0.617843647761508
"6464",1000,116,0.02,1.5,0.4,0.0927936230988369,0.0931992545573225,7,1,0.9,0.466127751358388,3.23343470328837,3,0.369761207376453,0.007,0.012,0.002,6,0.933698909257281
"6465",1000,117,0.02,1.5,0.4,-0.0240726537772511,0.0311595936745481,5,1,0,0.0123394456187016,0.192079205868355,2,0.0423736530241473,0.002,0.002,0.002,1,0.0247283764002138
"6466",1000,117,0.02,1.5,0.4,-0.00162085311110178,0.0337033117950334,7,1,0.3,0.166421410671332,0.888285835702579,1,0,0.001,0,0.002,0,0.334168672292236
"6467",1000,117,0.02,1.5,0.4,0.0170905519906427,0.0504506122937812,7,1,0.6,0.310342783616647,0.551521278134283,1,0,0.001,0,0.002,0,0.625059409144048
"6468",1000,117,0.02,1.5,0.4,0.0853049784146678,0.0976487369438182,8,1,0.9,0.465135345857029,0.43123405770125,1,0,0.001,0,0.002,0,0.934695844056033
"6469",1000,118,0.02,1.5,0.4,-0.0184906769993195,0.0314065085493657,5,1,0,-0.00351071267966382,1.7479586780055,2,0.181139042364957,0.002,0.002,0.002,1,-0.00702142790227656
"6470",1000,118,0.02,1.5,0.4,-0.00357312032874953,0.0352797007352625,6,1,0.3,0.164198996186151,0.936334152430472,1,0,0.001,0,0.002,0,0.33051541321251
"6471",1000,118,0.02,1.5,0.4,0.00863668519037504,0.0503320621708004,7,1,0.6,0.316829948219785,0.550792059030238,1,0,0.001,0,0.002,0,0.633686008656777
"6472",1000,118,0.02,1.5,0.4,0.0628628821239518,0.0943225389199427,8,1,0.9,0.467101122826856,4.6816364258228,2,4.2128223293643,0.002,0,0.004,0,0.934202583993636
"6473",1000,119,0.02,1.5,0.4,-0.0246287053594132,0.0323827776492747,5,1,0,0.00406684446519093,1.09274955743606,1,0,0.001,0,0.002,0,0.00814096200325878
"6474",1000,119,0.02,1.5,0.4,0.0135212647891247,0.0362532790393924,6,1,0.3,0.166091131971642,0.26766626264563,1,0,0.001,0.002,0,Inf,0.332520548686837
"6475",1000,119,0.02,1.5,0.4,0.0023406560784548,0.0481969452500916,7,1,0.6,0.316606791286598,0.675271142086045,1,0,0.001,0,0.002,0,0.634286244064462
"6476",1000,119,0.02,1.5,0.4,0.0759935986032743,0.0956460131392503,8,1,0.9,0.466572435460846,0.238482780062604,1,0,0.001,0.002,0,Inf,0.934883889695211
"6477",1000,120,0.02,1.5,0.4,-0.0248828740539631,0.0311447623720422,5,1,0,-0.00892710226969778,0.236770615701545,1,0,0.001,0,0.002,0,-0.0178542160349639
"6478",1000,120,0.02,1.5,0.4,0.00191091774270698,0.0356423880399987,6,1,0.3,0.145539044415091,2.42497588221302,1,0,0.001,0,0.002,0,0.291661747410213
"6479",1000,120,0.02,1.5,0.4,0.0153250838381009,0.0485257923043421,7,1,0.6,0.317411612973323,0.182432266715985,1,0,0.001,0,0.002,0,0.634874960761745
"6480",1000,120,0.02,1.5,0.4,0.101710414879896,0.0929424722528171,7,1,0.9,0.467445988919617,1.78627925546175,1,0,0.001,0.002,0,Inf,0.934997667363077
