"","size","rep","tau","degAssort","clustering","pathLen","r","q","time_steps","peak_size","peak_time","tot_inf","prev_1","prev_2","prev_ratio"
"7510",500,51,0.375,0.200415861071524,0.235721464971522,7,0.910171494336198,0.452590715318065,9.89580719781461,160,0.73582319611567,0.724,0.732,0.716,1.02234636871508
"7511",1000,51,0.375,-0.0125164709072342,0.029735044386601,5,-0.00924758723757256,-0.00461543104740503,8.73008806108726,404,1.2333171947894,0.89,0.898,0.882,1.01814058956916
"7512",1000,51,0.375,-0.0149885225282291,0.0317451596598027,5,0.0816022121392153,0.0407992080554602,9.1371879639187,362,1.07971866378851,0.853,0.848,0.858,0.988344988344988
"7513",1000,51,0.375,0.0215007730825062,0.0373009452675672,5,0.199969061457917,0.0999806641589765,9.48403646946771,346,1.19994918750158,0.83,0.852,0.808,1.05445544554455
"7514",1000,51,0.375,-0.0026633090906682,0.0416237966688738,6,0.331443452500745,0.165684214126834,10.7360857534235,347,1.04711346761581,0.823,0.816,0.83,0.983132530120482
"7515",1000,51,0.375,0.0236246803701085,0.0460807402930327,6,0.403188907129078,0.201384172577914,9.50533606544981,371,0.931361316200683,0.828,0.846,0.81,1.04444444444444
"7516",1000,51,0.375,0.0447804800909289,0.05311559691529,7,0.518774384736888,0.257775050326506,9.19017316010559,346,1.10234031166994,0.799,0.798,0.8,0.9975
"7517",1000,51,0.375,0.0553867984255203,0.0630673275045943,7,0.634262376085923,0.316922100302915,7.56930566328083,352,0.840121371416059,0.76,0.772,0.748,1.03208556149733
"7518",1000,51,0.375,0.0541284966600527,0.0686240476494985,7,0.722988629035697,0.360211144969512,7.88611599078484,314,0.772062125956304,0.729,0.742,0.716,1.03631284916201
"7519",1000,51,0.375,0.0820973014764265,0.0920986153095216,7,0.82754211408214,0.411026439398436,7.59441448861728,288,0.724886930416129,0.719,0.71,0.728,0.975274725274725
"7520",1000,51,0.375,0.176406659417497,0.154819612050401,8,0.934869962517384,0.466465716105186,9.0279131966869,345,0.938405291281634,0.737,0.752,0.722,1.0415512465374
"7521",1500,51,0.375,-0.0040725424555456,0.0209667514694271,5,-0.00540827147401912,-0.00270360359998545,11.530765309657,525,1.12132877737396,0.881333333333333,0.885333333333333,0.877333333333333,1.00911854103343
